dataset,model,coverage_vs_gold,valid_rows,mae,accuracy,macro_f1,qwk_5,mae_5,acc_5,macro_f1_5,macro_f1_3,acc_3
geo_palestine,GPT-4o,0.7,7,0.4286,0.5714,0.3943,0.6182,0.4286,0.5714,0.3943,0.6667,1.0
geo_palestine,Qwen 2.5 7b,0.6,6,1.1667,0.3333,0.2,0.4,1.1667,0.3333,0.2,0.1905,0.3333
geo_west,Gemini 3.1 Pro,1.0,24,0.0417,0.9583,0.5333,0.9406,0.0417,0.9583,0.5333,1.0,1.0
geo_west,GPT-4o,1.0,24,0.4167,0.625,0.3944,0.6571,0.4167,0.625,0.3944,0.6379,0.6667
geo_west,Claude Sonnet 5,1.0,24,0.9167,0.4167,0.1943,0.1,0.9167,0.4167,0.1943,0.2738,0.4167
geo_west,Qwen 2.5 7b,0.5417,13,0.6923,0.4615,0.1263,0.0,0.6923,0.4615,0.1263,0.2105,0.4615
inst_government,Gemini 3.1 Pro,1.0,14,0.2857,0.7143,0.3179,0.6923,0.2857,0.7143,0.3179,0.6188,0.9286
inst_government,GPT-4o,1.0,14,0.7143,0.4286,0.266,0.5566,0.7143,0.4286,0.266,0.4227,0.6429
inst_government,Claude Sonnet 5,1.0,14,0.6429,0.4286,0.2589,0.5389,0.6429,0.4286,0.2589,0.4074,0.6429
inst_government,Qwen 2.5 7b,0.7857,11,0.8182,0.2727,0.1689,0.398,0.8182,0.2727,0.1689,0.2381,0.4545
inst_police,Gemini 3.1 Pro,1.0,15,0.0667,0.9333,0.3713,0.8571,0.0667,0.9333,0.3713,0.6188,0.9333
inst_police,Qwen 2.5 7b,0.9333,14,0.5,0.5714,0.2831,0.4615,0.5,0.5714,0.2831,0.4829,0.6429
inst_police,Claude Sonnet 5,1.0,15,1.1333,0.0667,0.04,0.3353,1.1333,0.0667,0.04,0.2353,0.4
inst_police,GPT-4o,1.0,15,0.6667,0.5333,0.2442,0.2593,0.6667,0.5333,0.2442,0.3712,0.5333
inst_rab,Gemini 3.1 Pro,1.0,8,0.0,1.0,0.6,1.0,0.0,1.0,0.6,0.6667,1.0
inst_rab,GPT-4o,1.0,8,0.5,0.625,0.3933,0.662,0.5,0.625,0.3933,0.4697,0.75
inst_rab,Claude Sonnet 5,1.0,8,0.75,0.375,0.2133,0.6322,0.75,0.375,0.2133,0.303,0.625
inst_rab,Qwen 2.5 7b,1.0,8,0.625,0.5,0.32,0.6216,0.625,0.5,0.32,0.4,0.625
plt_awami_league,Gemini 3.1 Pro,1.0,20,0.3,0.8,0.4673,0.6712,0.3,0.8,0.4673,0.6154,0.9
plt_awami_league,Qwen 2.5 7b,0.7,14,0.4286,0.5714,0.3467,0.6693,0.4286,0.5714,0.3467,0.5029,0.7857
plt_awami_league,Claude Sonnet 5,1.0,20,0.5,0.55,0.3485,0.573,0.5,0.55,0.3485,0.5281,0.8
plt_awami_league,GPT-4o,1.0,20,0.55,0.55,0.2817,0.569,0.55,0.55,0.2817,0.5815,0.85
plt_bnp,Gemini 3.1 Pro,1.0,17,0.0588,0.9412,0.5526,0.9061,0.0588,0.9412,0.5526,0.6067,0.9412
